route,day,avg_delay_min,p95_delay_min,reliability_score
10,2025-08-14,4.5,5.85,0.775
10,2025-08-15,0.75,2.6999999999999993,0.9625
10,2025-08-16,1,1.8499999999999996,0.95
10,2025-08-17,-0.25,2.549999999999999,1
10,2025-08-18,1,5.399999999999999,0.95
10,2025-08-19,1.25,4.549999999999999,0.9375
10,2025-08-20,1.25,2.8499999999999996,0.9375
20,2025-08-14,3.5,6.6499999999999995,0.825
20,2025-08-15,0.5,0.95,0.975
20,2025-08-16,-2,-0.20000000000000018,1
20,2025-08-17,-1.5,-1.05,1
20,2025-08-18,10.5,13.649999999999999,0.475
20,2025-08-19,2,3.8,0.9
20,2025-08-20,2.5,2.95,0.875
30,2025-08-14,3.4,8.099999999999998,0.83
30,2025-08-15,3.3,5.549999999999999,0.835
30,2025-08-16,2.5,8,0.875
30,2025-08-17,1.2,4,0.94
30,2025-08-18,1.5,5.549999999999999,0.925
30,2025-08-19,1.6,6.549999999999999,0.92
30,2025-08-20,2.1,4.549999999999999,0.895
40,2025-08-14,4,6.6499999999999995,0.8
40,2025-08-15,3.375,7.299999999999999,0.83125
40,2025-08-16,3.375,6.949999999999998,0.83125
40,2025-08-17,3,7.299999999999999,0.85
40,2025-08-18,3.75,7.6499999999999995,0.8125
40,2025-08-19,1.375,7.299999999999999,0.93125
40,2025-08-20,3,7.6499999999999995,0.85
50,2025-08-14,-0.25,1.8499999999999996,1
50,2025-08-15,1.75,5.549999999999999,0.9125
50,2025-08-16,1,4.249999999999998,0.95
50,2025-08-17,-0.5,5.799999999999997,1
50,2025-08-18,5.5,10.85,0.725
50,2025-08-19,4.5,6.549999999999999,0.775
50,2025-08-20,4.75,9.249999999999998,0.7625
